word,trans,example
trouble,"n.麻烦；烦恼；故障；动乱
v.麻烦；使烦恼；折磨
","1. Recent stock market losses point to trouble ahead.
最近股市的下跌预示着未来将有麻烦。
"
traffic,"n.交通；运输；贸易；[通信] 通信量
v.用…作交换；在…通行
","1. There wasn’t much traffic on the roads.
路上车辆不多。
2. The sound of the traffic kept me awake.
车辆来往的嘈杂声令我无法入睡。
"
size,"n.大小；尺寸
adj.一定尺寸的
v.依大小排列
","1. He’s a small boy, about John’s size.
他是个小男孩，个子和约翰差不多。
2. Jensens’ house is about the same size as ours.
詹森的房子和我们的差不多大。
3. He’s quite a big dog, but he’s still not full size yet.
这条狗体型很大，但还没有长足。
"
worm,"n.虫，蠕虫；蜗杆；螺纹；小人物
v.使蠕动；给除虫；使缓慢前进
","1. ...a new computer worm that disables security software.
…一种使安全软件失灵的新型计算机蠕虫病毒。
"
bite,"v.咬；刺痛
n.咬；一口；咬伤；刺痛
abbr.机内测试设备（Built-In Test Equipment）
","1. The dog bit him and made his hand bleed.
那只狗把他的手咬出血了。
"
code,"n.代码，密码；编码；法典
v.编码；制成法典
",
cope,"v.处理；对付；竞争
n.长袍
","1. Sometimes I find it hard to cope.
有时候我觉得很难应付。
2. He coped quite well as manager while still captaining the team.
他是球队的主教练，同时兼任队长，干得相当好。
"
generate,"v.使形成；发生；生殖；产生物理反应
","1. a useful technique for generating new ideas
能产生新创意的有用技术
2. The program would generate a lot of new jobs.
这个项目将创造许多新的就业岗位。
"
modern,"adj.现代的，近代的；时髦的
n.现代人；有思想的人
","1. Such companies must change if they are to compete in the modern world .
此类公司如果想在现代社会中与别人竞争，就必须有所改变。
2. They are the youngest children in modern times to face murder charges.
他们是近代面临谋杀指控儿童中年龄最小的。
3. Smaller families are a feature of modern society .
家庭规模变小是现代社会的一个特征。
4. Computers are an essential part of modern life .
电脑是现代生活必不可少的组成部分。
5. a book about modern history
一本关于现代史的书
6. The original supermarkets were small by modern standards.
最初的超级市场按现代的标准来看是很小的。
"
payment,"n.付款，支付；报酬，报答；偿还；惩罚，报应
","1. Payment can be made by cheque or credit card.
可以用支票或信用卡付款。
2. We do accept payment in instalments (= paying in small amounts over a period of time ) .
我们确实接受分期付款。
3. She demanded payment in advance .
她要求预先付款。
"
respect,"n.尊敬，尊重；方面；敬意
v.尊敬，尊重；遵守
","1. The boys showed a complete lack of respect for authority.
这些男孩子根本无视权威。
"
campaign,"v.作战；参加竞选；参加活动
n.运动；活动；战役
","1. Jones ran a good campaign.
琼斯的活动搞得很成功。
2. Police have launched a campaign to crack down on drug dealers.
警方发起了一场严厉打击毒贩的运动。
"
labor,"n.劳动；工作；劳工；分娩
v.劳动；努力；苦干
","1. No, the supply chains themselves depend on the costs of labor being low.
这绝非如此，因为供应链本身就依赖于低廉的劳动力成本。
"
colleague,"n.同事，同僚
","1. a colleague of mine from the bank
我在银行的一位同事
2. She discussed the idea with some of her colleagues.
她和几位同事讨论了这个想法。
"
element,"n.元素；要素；原理；成分；自然环境
","1. Business and management elements are built into the course.
本课程加入了商务和管理方面的内容。
"
sight,"n.视力；景象；眼界；见解
v.看见；瞄准
adj.见票即付的；即席的
","1. Anne’s sight is very good for someone of her age.
安妮的视力对于她这个年龄的人来说算是非常好的。
2. He began to lose his sight six years ago.
六年前他开始视力衰退。
3. an emergency operation to save his sight
挽救他视力的紧急手术
4. You will get a free sight test if you are under 16.
如果你不满16岁，可以免费检查视力。
"
trust,"n.信任，信赖；责任；托拉斯
v.信任，信赖；盼望；赊卖给
","1. At first there was a lack of trust between them.
起初，他们之间缺乏信任。
2. an agreement made on the basis of mutual trust
在相互信任的基础上达成的一项协议
3. You betrayed your father’s trust (= did something bad even though he trusted you ) .
你辜负了你父亲对你的信任。
"
link,"n.[计] 链环，环节；联系，关系
v.连接，连结；联合，结合
","1. Send an email to the above address to report a broken link (= a link that is not working properly ).
如发现链接失败，请发送电子邮件至上述地址告知。
"
town,"n.城镇，市镇；市内商业区
","1. an industrial town in the Midlands
英格兰中部的一座工业城镇
2. I walked to the nearest town.
我走到最近的镇上。
"
freedom,"n.自由，自主；直率
","1. People here like their freedom and privacy.
这里的人喜欢他们所拥有的自由与隐私权。
2. the rights and freedoms of citizens
公民的权利与自由
3. the freedom to vote
选举自由
"
partner,"n.伙伴；合伙人；配偶
v.合伙；合股；成为搭档
","1. Discuss your worries with your partner.
和伴侣谈谈你的忧虑。
2. Only 29% of lone parents receive financial support from their former partners .
只有29%的单身家长得到他们前配偶的经济资助。
3. a sexual partner
性伴侣
"
sit,"v.坐；位于
n.(Sit)人名；(东南亚国家华语)硕；(罗)西特
","1. The parliament building sits in a large square.
议会大楼位于一个大广场上。
2. He’s got a computer sitting on his desk, but he doesn’t use it.
他有一台电脑放在书桌上，但他不用。
3. My climbing boots were sitting unused in a cupboard.
我的登山靴在橱柜里，一直没有穿。
4. The house has sat empty for two years.
这幢房子已经空置两年了。
"
department,"n.部；部门；系；科；局
","1. the personnel department
人事部
2. the English department
英语系
"
manager,"n.经理；管理人员
","1. one of our regional managers
我们的一位地区经理
2. a middle manager in a computer company
一家计算机公司的中层管理人员
"
worth,"adj.值…的
n.价值；财产
","1. You should not deprecate your own worth.
你不应该贬低你自己的价值。
"
design,"v.设计；计划；构思
n.设计；图案
","1. The tower was designed by Gilbert Scott.
这座塔楼是吉尔伯特·斯科特设计的。
"
commit,"v.犯罪，做错事；把交托给；指派…作战；使…承担义务
","1. Women commit fewer crimes than men.
女性犯罪比男性少。
"
ancestor,"n.始祖，祖先；被继承人
","1. My ancestors were French.
我的祖先是法国人。
"
hijack,"v.抢劫；揩油
n.劫持；威逼；敲诈
","1. The airliner was hijacked by a group of terrorists.
该航班被一帮恐怖分子劫持。
"
rest,"v.使休息，使轻松；把…寄托于
n.休息，静止；休息时间；剩余部分；支架
","1. If you’re tired, we’ll stop and rest for a while.
如果你累了，我们就停下来歇一会儿。
"
enter,"v.进入；开始；参加
n.[计] 输入；回车
","1. Both the boys entered the army.
两个男孩都参了军。
2. She entered politics in 1996.
她于1996年进入政界。
3. He entered the Church (= became a priest ) as a young man.
他年轻时就领了圣职。
"
innovation,"n.创新，革新；新方法
","1. We must encourage innovation if the company is to remain competitive.
公司要想保持竞争力，就必须鼓励革新。
"
sustain,"v.维持；支撑，承担；忍受；供养；证实
","1. She found it difficult to sustain the children’s interest.
她发现很难保持孩子们的兴趣。
2. He was incapable of sustaining close relationships with women.
他无法和女人维持亲密关系。
3. the policies necessary to sustain economic growth
维持经济增长必需的政策
"
image,"n.影像；想象；肖像；偶像
v.想象；反映；象征；作…的像
","1. She peered closely at her image in the mirror.
她仔细检视镜子中自己的映像。
"
retail,"v.零售；转述
n.零售
adv.以零售方式
adj.零售的
","1. Their products are retailed all over Britain.
他们的产品在英国各地都有零售。
"
teenager,"n.十几岁的青少年；十三岁到十九岁的少年
","1. a TV sex education series aimed at teenagers
一部针对青少年的性教育电视系列片
"
manner,"n.方式；习惯；种类；规矩；风俗
","1. He felt some guilt over the manner of her death.
她以这种方式死去，他心里有些内疚。
2. The issue will be resolved in a manner that is fair to both sides.
这个问题将用对双方都公平的方式来解决。
3. criticism of the manner in which the bishop was appointed
对主教任命方式的批评
"
threaten,"v.威胁；恐吓；预示
","1. Postal workers are threatening a strike if they don’t receive a pay increase.
邮政工人威胁如果不加薪，他们就要罢工。
"
month,"n.月，一个月的时间
","1. I hope I’ll have finished the work by the end of the month .
我希望我这个月底能完成工作。
2. She earns about £350 a month (= each month ) .
她每月约挣350英镑。
3. We update the schedule at least once a month.
我们至少每月更新一次日程表。
"
international,"n.国际组织；国际体育比赛；外国居留者；国际股票
adj.国际的；两国（或以上）国家的；超越国界的；国际关系的；世界的
","1. the response of the international community
国际社会的反响
2. the UN and other international organizations
联合国和其他国际组织
"
repeat,"v.重复；复制；背诵
n.重复；副本
","1. Repeat the exercises twice a day.
这套操每天做两次。
2. We must not repeat the mistakes of the past.
我们不能再犯以前的错误。
3. The team are hoping to repeat their success (= achieve the same good result ) of last season.
球队希望再续上一赛季的佳绩。
"
neglect,"v.疏忽，忽视；忽略
n.疏忽，忽视；怠慢
","1. She smoked and drank, neglected the children, and left the clothes unmended.
她抽烟喝酒，既不照顾孩子，也不缝补衣服。
2. a neglected garden
疏于打理的花园
3. The building has been badly neglected.
这栋大楼严重疏于维护。
"
mode,"n.模式；方式；风格；时尚
","1. Set the monitor to 256 colour mode.
把显示器调成256色彩模式。
"
shop,"n.商店；店铺
v.购物
","1. a barber’s shop
理发店
2. a fish-and-chip shop
炸鱼薯条店
3. the local shops
当地的商店
4. Shirley saw her reflection in the shop window.
雪莉在商店橱窗里看到了自己的影像。
5. I’m just going down to the shops .
我正要去商店。
"
folk,"n.民族；人们；亲属（复数）
adj.民间的
","1. I’m sure there are some folk who would rather they weren’t here.
我敢肯定有些人宁愿自己不在这里。
2. Thanks to the folks at NBC.
感谢全国广播公司的工作人员。
3. Wait till the folks back home hear about this!
等到家乡的人听说这事吧！
"
justify,"v.证明合法；整理版面
","1. No argument can justify a war.
没有任何理由能证明一个战争有理。
"
mention,"v.提到，谈到；提及，论及；说起
n.提及，说起
","1. Was my name mentioned at all?
我的名字被提到过吗？
2. Some of the problems were mentioned in his report.
其中的一些问题在他的报告里提到了。
3. (= it is important enough to mention ) that they only studied a very small number of cases.
必须说明的是他们仅研究了几个个案。
4. As I mentioned earlier , there have been a lot of changes recently.
正如我刚才所说的，最近变化很大。
5. She mentioned in passing (= mentioned in a quick unimportant way ) that you had just been to Rome.
她只是随口提了一下你刚刚去过罗马。
"
resistant,"adj.抵抗的，反抗的；顽固的
n.抵抗者
","1. Some people are very resistant to the idea of exercise.
一些人对锻炼的主意非常抵制。
"
daily,"adj.日常的；每日的
n.日报；朝来夜去的女佣
adv.日常地；每日；天天
","1. daily flights to Miami
每日飞往迈阿密的航班
"
random,"adj.[数] 随机的；任意的；胡乱的
n.随意
adv.胡乱地
","1. The company has introduced random drug testing of its employees.
公司已实行对雇员的随机毒品测试。
2. A few random shots were fired.
胡乱放了几枪。
3. We looked at a random sample of 120 families.
我们研究了随机抽样的120个家庭。
4. a random selection of women who were in the shop
对店内女性的随机选择
"
decline,"n.下降；衰退；斜面
v.下降；衰落；谢绝
","1. Official figures show a sharp decline in the number of foreign tourists.
官方数字显示外国游客数量骤降。
"
objective,"adj.客观的；目标的；宾格的
n.目的；目标；[光] 物镜；宾格
","1. Scientists need to be objective when doing research.
科学家做研究时要客观。
"
stick,"v.刺，戳；伸出；粘贴
n.棍；手杖；呆头呆脑的人
","1. This stamp won’t stick properly.
这张邮票贴不牢。
"
factor,"n.因素；要素；[物] 因数；代理人
v.做代理商
","1. The rise in crime is mainly due to social and economic factors.
犯罪率上升主要由社会和经济因素造成。
"
rail,"n.铁轨；扶手；横杆；围栏
v.抱怨；责骂
","1. Several passengers were leaning against the ship’s rail.
几名乘客斜靠在轮船的栏杆上。
"
fall,"v.落下；变成；来临；减弱
n.下降；秋天；瀑布
adj.秋天的
","1. The tree was about to fall.
那棵树快要倒下了。
2. The book fell from his hands.
书从他手上跌落。
3. Enough rain had fallen to flood the grounds.
雨量很大，淹没了地面。
4. She flushed and her eyes fell (= she looked down ) .
她脸一红，垂下了眼帘。
"
refer,"v.参考；涉及；提到；查阅
","1. In his speech, he referred to a recent trip to Canada.
在他的讲话中，他提到了最近的加拿大之行。
"
short,"adj.短的；不足的；矮的，低的
n.短；缺乏；短路；短裤
adv.不足；突然；唐突地
","1. a short meeting
一个短会
2. Morris gave a short laugh.
莫里斯笑了一声。
3. a short course on business English
商业英语短期课程
4. Winter is coming and the days are getting shorter.
冬天来临，白天变短了。
5. I’ve only been in Brisbane a short time .
我才来布里斯班不久。
6. For a short while (= a short time ) , the city functioned as the region’s capital.
这座城市曾经在很短的一段时间里是这个地区的首府。
7. I learned a lot during my short period as a junior reporter.
在当初级记者的这段短暂时间里，我学到了许多。
8. Germany achieved spectacular economic success in a relatively short period of time .
德国在相对较短的时间里取得了非凡的经济成就。
9. They met and married within a short space of time .
他们从相识到结婚时间很短。
10. I promise to keep the meeting short and sweet (= short in a way that is good, especially not talking for a long time ) .
我保证会议开得简短不拖拉。
11. For a few short weeks (= they seemed to pass very quickly ) the sun shone and the fields turned gold.
短短的几个星期里，阳光照耀，田野变成了一片金黄。
"
argument,"n.论证；论据；争吵；内容提要
","1. We need to provide a convincing argument as to why the system should be changed.
我们得提出有说服力的论据，证明为何要改变体制。
"
task,"v.分派任务
n.工作，作业；任务
","1. Jen was tasked with running a charity basketball tournament.
珍被委以举办一场慈善篮球赛的任务。
"
manage,"v.管理；经营；控制；设法
","1. He was asked to manage a new department.
他被要求去管理一个新的部门。
2. Managing a football team is harder than you think.
管理一支足球队比你想象的要难。
3. The company had been very badly managed.
公司管理非常糟糕。
4. a brewery which has been owned and managed by the same family for over 100 years
被同一个家族拥有和经营了一百多年的啤酒厂
"
low,"adj.低的，浅的；卑贱的；粗俗的；消沉的
adv.低声地；谦卑地，低下地
n.低；低价；低点；牛叫声
v.牛叫
","1. Their safety standards seem to be pretty low.
他们的安全标准似乎相当低。
2. Cost-cutting has led to a lower quality of service.
削减成本导致服务质量降低。
3. the children’s low achievement in school
孩子们在学校里不好的成绩
"
presence,"n.存在；出席；参加；风度；仪态
","1. Your presence is requested at the club meeting on Friday.
敬请出席于周五举行的俱乐部会议。
"
match,"v.使比赛；使相配；敌得过，比得上；相配；与…竞争
n.比赛，竞赛；匹配；对手；火柴
","1. We painted the cabinets green to match the rug.
我们把柜子刷成绿色，和地毯相配。
2. Do you think this outfit matches?
你认为这套衣服配吗？
3. a beech dining table with four chairs to match (= chairs that match it )
配有四把椅子的山毛榉餐桌
"
parallel,"n.平行线；对比
v.使…与…平行
adj.平行的；类似的，相同的
","1. ...the area south of the 38th parallel.
…38度纬线以南的地区。
"
military,"adj.军事的；军人的；适于战争的
n.军队；军人
","1. a military helicopter
军用直升机
2. military equipment
军事设备
3. The government has threatened to take military action if the rebels do not withdraw from the area.
政府警告说，如果叛乱分子不从该地区撤出，就要采取军事行动。
4. The United States is prepared to use military force to achieve its aims.
美国准备动用武力达成目的。
5. a raid by European military forces
欧洲军事力量发动的袭击
"
conflict,"n.冲突，矛盾；斗争；争执
v.冲突，抵触；争执；战斗
","1. the threat of industrial conflict in the coalfields
煤田发生劳资纠纷的风险
2. Marx points out the potential conflicts below the surface of society.
马克思指出了隐藏在社会表层之下的潜在矛盾。
3. His views on the literal truth of the Bible brought him into conflict with other Christian leaders.
他坚持《圣经》字面真理的观点使他与其他的基督教领袖发生了冲突。
4. Doctors exercise considerable power and often come into conflict with politicians.
医生行使很大的权力，常常和政客们发生冲突。
5. a lawyer specializing in conflict resolution
专门解决纠纷的律师
"
possibly,"adv.可能地；也许；大概
","1. This last task is possibly the most difficult.
这最后一项任务也许是最难的。
2. It will take three weeks, possibly longer.
要花三个星期，也许更久。
3. ‘Will you be here tomorrow?’ ‘Possibly.’
“你明天到这儿来吗？”“也许吧。”
4. ‘Was it murder?’ ‘ Quite possibly (= it is very likely ) .’
“是谋杀吗？”“很可能是。”
"
addict,"n.有瘾的人；入迷的人
v.使沉溺；使上瘾
","1. She is a TV addict and watches as much as she can.
她是一个电视迷，看尽可能多的电视。
"
joy,"n.欢乐，快乐；乐趣；高兴
v.欣喜，欢喜
","1. The garden was his pride and joy.
这座花园是他的骄傲和乐趣所在。
"
puzzle,"v.使…困惑；使…为难；苦思而得出
n.谜；难题；迷惑
","1. a question that continues to puzzle scientists
一直困扰科学家的问题
2. He was puzzled by the reactions to his remark.
他对自己的话引起的反应感到困惑不解。
3. What puzzles me is why his books are so popular.
令我不解的是，他的书为什么如此受欢迎。
"
draw,"v.画；拉；吸引
n.平局；抽签
","1. Katie had drawn a cottage with a little stream running next to it.
凯蒂画了一间小茅舍，旁边流淌着一条小溪。
2. She asked the little girl to draw a picture of the man she’d spoken to.
她让小女孩把刚才和她说话的那个男人画出来。
3. Keith was drawing a complicated-looking graph.
基思在画一张看上去很复杂的图表。
4. I’ve never been able to draw very well.
我从来就画不好图画。
"
drive,"v.开车；猛击；飞跑
n.驱动器；驾车；[心理] 内驱力，推进力；快车道
","1. the man driving the car
开车的男子
2. Can you drive?
你会开车吗？
3. So when did you learn to drive ?
那么你是什么时候学会开车的？
4. Bye! Drive carefully!
再见！开车小心！
5. He drives 12 miles to work.
他驾车12英里去上班。
6. He drives (= has ) a BMW estate.
他开一辆宝马旅行车。
"
contrast,"v.对比；形成对照
n.对比；差别；对照物
","1. an essay comparing and contrasting (= showing how two things are similar and different ) Verdi and Wagner and their operas
把威尔第和瓦格纳以及他们的歌剧进行比较和对照的一篇文章
"
background,"n.背景；隐蔽的位置
v.作…的背景
adj.背景的；发布背景材料的
","1. Students with a background in chemistry will probably find the course easier.
学过化学的学生可能会觉得这门课程容易些。
2. It’s important to understand other people, people from different backgrounds .
要理解别人，理解那些来自不同背景的人，这是很重要的。
3. Do you know anything about his background?
关于他的背景，你知道什么吗？
"
wall,"n.墙壁，围墙；似墙之物
v.用墙围住，围以墙
adj.墙壁的
","1. the Great Wall of China
中国的长城
2. We climbed over the wall into the orchard.
我们翻墙进了果园。
"
artist,"n.艺术家；美术家（尤指画家）；大师
","1. an exhibition of paintings by local artists
当地画家的画展
"
communication,"n.通讯，[通信] 通信；交流；信函
","1. Good communication is vital in a large organization.
在大机构里良好的沟通是极为重要的。
2. Radio was the pilot’s only means of communication .
无线电是飞行员唯一的通信手段。
"
combine,"v.使化合；使联合，使结合
n.联合收割机；联合企业
","1. Diets are most effective when combined with exercise.
节食和锻炼相结合是最有效的。
2. Ruth hesitated, uncertain of how to combine honesty and diplomacy in her answer.
露丝犹豫了，她不知道怎样回答才能既诚实又婉转。
"
alphabet,"n.字母表，字母系统；入门，初步
","1. The modern Russian alphabet has 31 letters.
现代俄语字母表有31个字母。
"
fight,"v.打架；与…打仗，与…斗争；反对…提案
n.打架；战斗，斗志
","1. Neither country is capable of fighting a long war .
两个国家都没有能力打持久战。
2. Later the Indians fought the Anglo settlers.
后来，印第安人跟英国殖民者打起了仗。
"
crisis,"n.危机；危险期；决定性时刻
adj.危机的；用于处理危机的
","1. The country now faces an economic crisis .
该国目前正面临一场经济危机。
2. The Prime Minister was criticized for the way in which he handled the crisis .
首相处理危机的方式遭到了批评。
3. the current debt crisis
当前的债务危机
4. a major political crisis
重大的政治危机
5. I was relieved that we had averted yet another financial crisis .
我如释重负，我们又避免了一场财政危机。
6. Oil companies were heavily criticized when they made large profits during the oil crisis of the 1970s.
石油公司因在20世纪70年代的石油危机中赚取了丰厚利润而受到严厉抨击。
7. The car industry is now in crisis .
汽车工业现在正处于危机之中。
8. He doesn’t seem to be very good at crisis management .
他好像不大擅长处理危机。
"
approve,"v.批准；赞成；为…提供证据
","1. The conference approved a proposal for a referendum.
会议通过了举行全民公决的提议。
"
agreement,"n.协议；同意，一致
","1. It is easier for two parties to reach agreement than for three.
两方达成一致比三方达成一致容易。
"
surprise,"n.惊奇，诧异；突然袭击
v.使惊奇；奇袭
adj.令人惊讶的
","1. The man had a look of surprise on his face.
那人脸上一副惊讶的表情。
"
imagine,"v.想像；猜想；臆断
","1. Perhaps she’d never really been there at all – perhaps she’d just imagined it.
可能她从未到过那儿——也许这都是她的幻想。
"
reliable,"adj.可靠的；可信赖的
n.可靠的人
","1. a birth control method that is cheap and reliable
既便宜又可靠的避孕方法
2. Miller was a quiet and reliable man.
米勒是个话不多且可靠的人。
"
collect,"v.收集；募捐
adv.由收件人付款地
adj.由收件人付款的
n.(Collect)人名；(英)科莱克特
","1. After 25 years of collecting recipes, she has compiled them into a cookbook.
她搜集了25年食谱，把它们编成一本烹饪书。
2. The company collects information about consumer trends.
这家公司搜集有关消费者趋向的信息。
3. We’ve been out collecting signatures for our petition.
我们出去为我们的请愿征集签名。
"
forget,"v.忘记；忽略
n.(Forget)人名；(法)福尔热
","1. I’m sorry, I’ve forgotten your name.
对不起，我忘记你的名字了。
2. I know you told me, but I forgot.
我知道你告诉过我，但是我忘了。
3. What happened that day will never be forgotten.
那一天的事永远难忘。
4. He’s someone who never forgets a face (= forgets who someone is ) .
他是那种见人一面就不会忘记的人。
"
supreme,"adj.最高的；至高的；最重要的
n.至高；霸权
","1. the Supreme Allied Commander in Europe
欧洲盟军最高指挥官
2. a country where the car reigns supreme
汽车占绝对优势地位的国家
"
strain,"n.张力；拉紧；负担；扭伤；血缘
v.拉紧；尽力
","1. I couldn’t look after him any more; the strain was too much for me.
我不能再照看他了，压力太大。
2. Did you find the job a strain ?
你觉得这份工作紧张吗？
3. the stresses and strains of police life
警察生活的紧张和压力
"
ready,"adj.准备好；现成的；迅速的；情愿的；快要…的
n.现款；预备好的状态
adv.迅速地；预先
v.使准备好
","1. Come on. Aren’t you ready yet?
快点，你还没准备好吗？
2. When the doorbell rang he was ready and waiting .
门铃响的时候，他已经准备好在等着了。
3. Why does it take you so long to get ready to go out?
你外出怎么要准备那么长时间？
"
conservative,"adj.保守的
n.保守派，守旧者
","1. a very conservative attitude to education
对待教育非常守旧的态度
2. conservative views
保守的观点
"
consume,"v.消耗，消费；使…著迷；挥霍
","1. Only 27% of the paper we consume is recycled.
我们消耗的纸张只有 27% 得到回收利用。
2. A smaller vehicle will consume less fuel.
汽车小耗费燃料也少。
"
deny,"v.否定，否认；拒绝给予；拒绝…的要求
","1. The government denied the existence of poverty among 16- and 17-year-olds.
政府否认十六七岁的青少年当中存在贫困问题。
"
trace,"v.追溯；沿路走
n.痕迹，踪迹；微量；[仪] 迹线；缰绳
","1. Sondheim’s book traces the changing nature of the relationship between men and women.
桑德海姆的这本书研究了男女关系性质的变化。
"
engage,"v.吸引，占用；使参加；雇佣；使订婚；预定
","1. She engaged the clutch and the car moved.
她踩下离合器，汽车便开动了。
"
disappear,"v.消失；失踪；不复存在
","1. At this point the path seemed to disappear altogether (= disappear completely ) .
小路到这里好像完全消失了。
"
damage,"n.损害；损毁；赔偿金
v.损害；损毁
","1. These chemicals have been found to cause serious environmental damage.
经发现，这些化学物质会造成严重的环境破坏。
2. There may be permanent brain damage.
可能有永久性脑损伤。
3. His eyesight suffered irreparable damage.
他的视力受到了无法修复的损伤。
"
misery,"n.痛苦，悲惨；不幸；苦恼；穷困
","1. What we are witnessing here is human misery on a vast scale.
我们在这里所目睹的情景是许许多多的人都生活困苦。
2. the misery of unemployment
失业的痛苦
3. the miseries of war
战争造成的苦难
"
saving,"n.节约；挽救；存款
adj.节约的；挽救的；补偿的；保留的
prep.考虑到；除之外
","1. Buying a house had taken all their savings.
买房子花掉了他们所有的积蓄。
"
upset,"v.使心烦；颠覆；扰乱
adj.心烦的；混乱的；弄翻的
n.混乱；翻倒；颠覆
","1. Don’t do anything that would upset him.
别做惹他生气的事情。
2. Markets are very sensitive to any upsets in the Japanese economic machine.
市场对日本经济机器里的任何混乱都是非常敏感的。
"
chief,"n.首领；酋长；主要部分
adj.首席的；主要的；主任的
adv.主要地；首要地
","1. Most health chiefs believe the reforms have gone too far.
大多数卫生部领导人都觉得改革搞得过火了。
2. industry chiefs
工业界领袖
"
captive,"adj.被俘虏的；被迷住的
n.俘虏；迷恋者
","1. Her heart had begun to pound inside her chest like a captive animal.
她心如鹿撞，怦怦跳个不停。
"
opinion,"n.意见；主张
","1. When choosing an insurance policy it’s best to get an independent opinion.
选择保险时，最好听听专家的独立意见。
"
understanding,"n.谅解，理解；理解力；协议
adj.了解的；聪明的；有理解力的
v.理解；明白（understand的ing形式）
","1. We had an understanding that Jean-Claude should never be mentioned.
我们有一个共识，永远不提让－克洛德。
2. Her boss, who was very understanding, gave her time off.
她的老板很体谅她，给她放了假。
"
purchase,"n.购买；紧握；起重装置
v.购买；赢得
","1. She paid for her purchases and left.
她付钱买好东西离开了。
2. I enclose my receipt as proof of purchase .
我附上小票作为购物凭证。
3. She made two purchases from my stall.
她从我的货摊上买了两样东西。
"
capable,"adj.能干的，能胜任的；有才华的
","1. a strong capable woman
一个坚强能干的女人
"
gap,"n.间隙；缺口；差距；分歧
v.裂开
","1. a gap in the traffic
车流中的一个空档
"
remains,"n.残余；遗骸
","1. extensive Roman remains (= of ancient buildings ) at Arles
阿尔勒的一大片古罗马遗迹
"
staff,"n.职员；参谋；棒；支撑
adj.职员的；行政工作的
v.供给人员；给…配备职员
","1. The entire staff has done an outstanding job this year.
今年全体员工工作都非常出色。
2. They employ a total of 150 staff.
他们一共雇用 150 名员工。
3. The staff were very helpful.
员工非常配合。
4. one of our longest-serving staff members
我们中服务年资最长的员工之一
5. a staff meeting
员工会议
"
atmosphere,"n.气氛；大气；空气
","1. The hotel had a lovely relaxed atmosphere .
那家宾馆的气氛轻松愉快。
2. The atmosphere at home was rather tense.
家里的气氛很紧张。
"
judge,"v.判断；审判
n.法官；裁判员
","1. You should never judge a person by their looks.
决不要以貌取人。
2. Judge us on the improvements we make in the economy.
请根据我们在经济方面取得的进步来评价我们。
3. The therapist judged that Margaret had made a serious attempt to kill herself.
治疗专家断定玛格丽特曾真的企图自杀。
4. pollutants that were judged hazardous to human health
被认为对人体健康有害的污染物
5. I am in no position to judge whether what she is doing is right or wrong.
我无权评判她在做的事是对是错。
6. The economic results of the reforms are very difficult to judge.
这些改革所带来的经济成效很难评价。
7. The likelihood of future bombs was impossible to judge.
未来发生爆炸案的可能性无法预测。
8. We judge the success of a product by the number of sales it brings in.
我们以销量来评价一种产品成功与否。
9. His conduct, judged objectively by what he has done, is dishonest.
他的行为，从他所做的这一切客观地来评价，是不诚实的。
10. Robert wanted to go and help him, but judged it best to stay where he was.
罗伯特想过去帮他，但考虑之后还是觉得待在原地为妙。
11. Do not judge her too harshly, as she was very young at the time.
对她的评价不要太苛刻，毕竟那时候她还很年轻。
"
characterize,"v.描绘…的特性；具有…的特征
","1. Bright colours characterize his paintings.
明亮的色彩是他绘画作品的特点。
"
grape,"n.葡萄；葡萄酒；葡萄树；葡萄色
","1. a bunch of grapes
一串葡萄
2. grape juice
葡萄汁
3. red seedless grapes
红色无籽葡萄
"
confuse,"v.使混乱；使困惑
","1. I understand the text but the diagrams are confusing me.
文字我理解，但是图表把我弄糊涂了。
"
meaning,"n.意义；含义；意图
adj.意味深长的
v.意味；意思是（mean的ing形式）
","1. Life seemed to have lost its meaning since Janet’s death.
珍妮特去世以后生活似乎失去了意义。
"
building,"n.建筑；建筑物
v.建筑；建立；增加（build的ing形式）
","1. The offices are on the top two floors of the building.
办公室在大楼最高的两层。
2. a farmhouse and other farm buildings
农舍以及其他的农场建筑
"
